n,mse_mom,mse_bayes,mse_umvue
1,0.332714,0.249854,0.332714
2,0.1661,0.111086,0.124921
3,0.110762,0.0618739,0.0660317
4,0.0836776,0.0399076,0.0415365
5,0.0663913,0.0275698,0.0283969
6,0.0551612,0.0204572,0.0208418
7,0.0477591,0.015761,0.0159955
8,0.0414792,0.0122983,0.0124556
9,0.0370243,0.00997877,0.0100831
10,0.0333476,0.00827988,0.00834883
11,0.0301482,0.00694552,0.00699354
12,0.0278999,0.00595146,0.00598941
13,0.0255703,0.00506795,0.00509584
14,0.0238905,0.0044097,0.00443132
15,0.0222501,0.0038856,0.00390198
16,0.0209835,0.00344085,0.0034554
17,0.01952,0.00308,0.00308895
18,0.0185151,0.0027936,0.0027998
19,0.0175664,0.00250993,0.00251552
20,0.0166779,0.00225659,0.00226291
